latitude,longitude,room_type,price,zipcode,zcta_housing_2020,total_units_2020,occupied_units_2020,vacant_units_2020,median_rooms_2020,owner_occupied_units_2020,rental_occupied_units_2020,median_value_2020,median_monthly_costs_2020,median_rent_2020,five_year_diff,total_units_2015,occupied_units_2015,vacant_units_2015,median_rooms_2015,owner_occupied_units_2015,rental_occupied_units_2015,median_value_2015,median_monthly_costs_2015,median_rent_2015,median_household_income_2020,median_family_income_2020,median_household_income_2015,median_family_income_2015,zipcount,class
40.06366,-83.09885,1,79,43220,43220,13160,12475.0,685,5.4,6259,6216,355500.0,2139.0,1032,97900.0,12754.0,11857.0,897.0,5.6,6536.0,5321.0,257600.0,1720.0,864.0,70167.0,113666.0,60412.0,92072.0,10.0,1
39.98382,-83.01635,1,314,43201,43201,15281,13106.0,2175,4.4,2215,10891,258900.0,1747.0,1094,55200.0,15115.0,11508.0,3607.0,4.6,2080.0,9428.0,203700.0,1554.0,858.0,34884.0,47014.0,25322.0,51458.0,434.0,2
39.98908,-83.00898,1,244,43201,43201,15281,13106.0,2175,4.4,2215,10891,258900.0,1747.0,1094,55200.0,15115.0,11508.0,3607.0,4.6,2080.0,9428.0,203700.0,1554.0,858.0,34884.0,47014.0,25322.0,51458.0,434.0,2
40.10672,-83.07529,1,200,43235,43235,19512,18505.0,1007,5.5,10358,8147,256900.0,1800.0,1178,45000.0,18929.0,17941.0,988.0,5.3,9405.0,8536.0,211900.0,1646.0,962.0,77951.0,106974.0,66141.0,85202.0,18.0,2
40.06079,-82.92073,1,98,43230,43230,25484,24546.0,938,5.8,14855,9691,204000.0,1542.0,1140,34800.0,22879.0,22120.0,759.0,6.1,14496.0,7624.0,169200.0,1497.0,985.0,75960.0,95989.0,70618.0,87964.0,37.0,2
39.96028,-82.95052,0,96,43205,43205,7366,5510.0,1856,5.6,1949,3561,211600.0,1492.0,755,108800.0,7271.0,5205.0,2066.0,5.7,1791.0,3414.0,102800.0,1120.0,690.0,40559.0,44420.0,30491.0,32843.0,203.0,0
40.00921,-82.92745,0,68,43219,43219,12739,11479.0,1260,5.2,5158,6321,114500.0,1214.0,960,31700.0,12401.0,10867.0,1534.0,5.1,4936.0,5931.0,82800.0,1062.0,795.0,40172.0,48690.0,33473.0,40010.0,47.0,0
40.03632,-82.9885,0,55,43224,43224,18950,17585.0,1365,5.0,8324,9261,103200.0,983.0,827,16700.0,18876.0,16274.0,2602.0,5.0,7866.0,8408.0,86500.0,993.0,678.0,39038.0,45010.0,33487.0,39337.0,16.0,0
39.97977,-83.00284,1,170,43215,43215,10791,9609.0,1182,3.3,1891,7718,324000.0,1975.0,1215,69300.0,9281.0,8170.0,1111.0,3.3,1728.0,6442.0,254700.0,1975.0,920.0,64368.0,92708.0,52178.0,125239.0,245.0,1
39.97459,-83.00314,1,201,43215,43215,10791,9609.0,1182,3.3,1891,7718,324000.0,1975.0,1215,69300.0,9281.0,8170.0,1111.0,3.3,1728.0,6442.0,254700.0,1975.0,920.0,64368.0,92708.0,52178.0,125239.0,245.0,1
