id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
43364480,Private Parking - Jungle Fever | Downtown | Short North | Near Nationwide & Convention Center,109117484,Sergio,,Near North/University,39.97619,-83.00987,Entire home/apt,160,1,299,2022-09-19,10.87,10,354,131,2021-2511
43411084,"Modern New Luxe Townhome in Short North, BEST Location",261649006,Alex,,Near North/University,39.9867,-83.00153,Entire home/apt,559,1,112,2022-09-18,3.95,10,341,26,2022-1798
43442384,"Quaint, Welcoming Townhouse with Private Patio",94337607,Alezah,,Far North,40.11654,-82.92667,Entire home/apt,108,1,109,2022-09-18,3.84,9,337,63,
43526696,❤Cozy and quiet 3BD ❤Pet Friendly,347298524,Luluhomes,,Northland,40.09575,-83.00422,Entire home/apt,107,21,17,2021-09-12,0.60,2,90,0,
43554862,Long Term Three Bedroom Perfect for Travel Nurses,347660271,Breezeway Homes,,Hilltop,39.96047,-83.07179,Entire home/apt,90,30,5,2022-06-16,0.19,3,276,3,
43640109,Free Cancellation - The King's Loft w/Balcony + Desk + Washer/Dryer,27280979,Jesse,,Far North,40.14165,-82.95416,Entire home/apt,99,28,3,2022-06-01,0.11,37,365,1,
43665919,Frontdesk | Chic 1BR Apt Near the Park,253828606,Frontdesk,,Downtown,39.95714,-83.0004,Entire home/apt,115,1,139,2022-09-10,5.69,13,49,75,2020-1341
43770667,Rest and Recharge 3,143950108,William,,South Linden,39.98793,-82.9431,Private room,40,30,0,,,4,0,0,
43770738,Rest a while 2.,143950108,William,,South Linden,39.98977,-82.9431,Private room,45,30,0,,,4,0,0,
43770743,Cozy Room 4,143950108,William,,South Linden,39.98943,-82.94322,Private room,45,30,3,2022-04-02,0.20,4,150,1,
43804124,Industrial Flat - EJ Thomas Factory - Short North,194281106,Nicole,,Near North/University,39.984802,-83.000122,Entire home/apt,108,1,192,2022-09-18,7.06,23,253,98,2021-3041
43806645,"Walk to Campus Studio ✰ High St, Free Parking",325932974,Evan,,Near North/University,39.99681,-83.00525,Entire home/apt,65,1,49,2022-09-16,1.88,34,147,29,2022-2184
43840767,Rustic/Modern Downtown Oasis,350643473,Nicole,,Near East,39.96921,-82.97493,Entire home/apt,202,1,233,2022-09-19,9.02,1,283,95,2021-2523
43859466,Garden Level Apartment | Tons of Entertaining Amenities,8963103,Sarah,,Near North/University,39.97885,-83.01064,Entire home/apt,184,2,123,2022-09-04,4.70,33,69,72,2021-2732
43872297,The Victorian Greenhouse 🌿 King Bd/Prvate Parking,325932974,Evan,,Near North/University,39.98223,-83.00699,Entire home/apt,111,1,198,2022-09-10,7.34,34,81,85,2019-2091
43897658,Bohemian Flat - Short North - Free Parking,194281106,Nicole,,Near North/University,39.980816,-82.998802,Entire home/apt,98,1,148,2022-09-18,5.50,23,203,76,2021-3042
43911223,✨Travelers Paradise!✨-Central Downtown/Ohio State,44467878,Joe,,West Olentangy,39.989819,-83.042885,Entire home/apt,76,1,21,2022-09-19,10.16,4,129,21,2021-3621
43915950,$500 off Price reflects discount,214007946,Marlan,,Near North/University,40.0051,-83.00929,Entire home/apt,80,30,0,,,1,0,0,
43927680,Italian Village- Short North Home- private parking,135685330,Jessica,,Near North/University,39.98246,-82.99725,Entire home/apt,234,3,91,2022-09-11,3.38,2,114,24,2021-2384
43955914,✦ Bexley Breeze Getaway ✦ King Bed,304922101,Ado,,Eastmoor/Walnut Ridge,39.95026,-82.93797,Entire home/apt,222,3,40,2022-09-05,1.58,3,142,15,
44020582,Downtown Columbus home - Close to everything!,352794556,Chanel,,Near East,39.96005,-82.97577,Entire home/apt,106,30,7,2022-06-30,0.29,2,290,2,
44087254,Entire Residential House:  Newly Updated,113737890,Ron,,Near North/University,39.99279,-82.99548,Entire home/apt,186,2,19,2022-09-18,3.58,1,338,19,2022-4237
44104010,Housepitality~ The Columbus A-List House,26958698,Benjamin,,Franklinton,39.95865,-83.02723,Entire home/apt,211,1,55,2022-09-10,2.07,107,24,21,2022-2531
44119214,Uptown Westerville - Otterbein University,19840261,Mouki,,Far North,40.12753,-82.93793,Entire home/apt,198,3,77,2022-09-04,3.77,1,294,44,
44121484,Entire Home in German Village,8963103,Sarah,,Near South,39.95199,-82.99376,Entire home/apt,133,2,110,2022-09-17,4.30,33,61,52,2021-2807
44134426,The Spacious Hilliard House,26958698,Benjamin,,West Scioto,39.9823,-83.10953,Entire home/apt,215,1,40,2022-09-03,1.52,107,358,20,2022-1341
44139649,Spacious 2 BR 2 Bath 3 Level Townhouse,354911087,Samuel,,Rocky Fork-Blacklick,40.05659,-82.84832,Entire home/apt,106,2,83,2022-09-12,3.39,1,31,38,2020-1724
